Списання,,,,,,,,,,,
ID списання,Дата,Тип списання,SKU,Назва товару,Кількість,Собівартість 1 од. / ПРРО,Управлінська собівартість 1 од.,Сума списання / ПРРО,Управлінська сума списання,Причина,Примітка
WRT-0029,2026-05-14,Власне відкриття,PKM-JP-SPIN-BST,Pokémon — Ninja Spinner — JP — Booster,1,"63,19 грн","66,98 грн","63,19 грн","66,98 грн",Розпакував для себе,Ручне списання 2026-05-14
WRT-0030,2026-05-14,Інше,PKM-JP-SCEX-BST,Pokémon — Scarlet EX — JP — Booster,1,"88,10 грн","93,39 грн","88,10 грн","93,39 грн",для формування містері бокса,Продаж OLX-FOP-0034
WRT-0031,2026-05-14,Інше,PKM-JP-MSYM-BST,Pokémon — Mega Symphonia — JP — Booster,1,"57,61 грн","61,07 грн","57,61 грн","61,07 грн",для формування містері бокса,Продаж OLX-FOP-0034
WRT-0032,2026-05-14,Інше,PKM-JP-MBRV-BST,Pokémon — Mega Brave — JP — Booster,1,"77,36 грн","82,00 грн","77,36 грн","82,00 грн",для формування містері бокса,Продаж OLX-FOP-0034
WRT-0033,2026-05-14,Інше,PKM-JP-SPIN-BST,Pokémon — Ninja Spinner — JP — Booster,2,"63,19 грн","66,98 грн","126,38 грн","133,96 грн",для формування містері бокса,Продаж OLX-FOP-0034
WRT-0034,2026-05-15,Інше,PKM-JP-MZERO-BST,Pokémon — Munics Zero — JP — Booster,1,"41,07 грн","43,53 грн","41,07 грн","43,53 грн",для формування містері бокса,Продаж MBZ-PHYS-0001
WRT-0035,2026-05-15,Інше,PKM-JP-MSYM-BST,Pokémon — Mega Symphonia — JP — Booster,1,"57,61 грн","61,07 грн","57,61 грн","61,07 грн",для формування містері бокса,Продаж MBZ-PHYS-0001
WRT-0036,2026-05-15,Інше,OP-JP-V7PR-BST,One Piece — V7 Promo — JP — Booster,1,"62,57 грн","66,32 грн","62,57 грн","66,32 грн",для формування містері бокса,Продаж MBZ-PHYS-0001
WRT-0037,2026-05-15,Інше,OP-JP-OP11-BST,One Piece — OP-11 — JP — Booster,1,"72,54 грн","76,89 грн","72,54 грн","76,89 грн",для формування містері бокса,Продаж MBZ-PHYS-0001
WRT-0038,2026-05-15,Інше,OP-JP-EB03-BST,One Piece — EB-03 — JP — Booster,1,"75,71 грн","80,25 грн","75,71 грн","80,25 грн",для формування містері бокса,Продаж MBZ-PHYS-0001
