Склад,,,,,,,,,,,,,,,,,,,
SKU,Назва товару,Категорія / бренд,Формат,Закуплено,Продано,Списано,Залишок,Середня собівартість / ПРРО,Середня управлінська собівартість,Вартість залишку / ПРРО,Управлінська вартість залишку,Потенційна виручка,Потенційний прибуток,Мінімальний залишок,Статус залишку,Очікується / Японія,Закуплено всього,Передзамовлено / резерв,Очікується після резерву
OP-JP-OP11-BST,One Piece — OP-11 — JP — Booster,One Piece,Booster,48,36,8,4,"72,54 грн","76,89 грн","290,16 грн","307,56 грн","760,00 грн","452,44 грн",5,Мало,0,48,0,0
OP-JP-EB03-BST,One Piece — EB-03 — JP — Booster,One Piece,Booster,24,4,13,7,"75,71 грн","80,25 грн","529,97 грн","561,75 грн","1 190,00 грн","628,25 грн",5,ОК,0,24,0,0
PKM-JP-SPIN-BST,Pokémon — Ninja Spinner — JP — Booster,Pokémon,Booster,77,9,28,40,"63,19 грн","66,98 грн","2 527,60 грн","2 679,20 грн","8 000,00 грн","5 320,80 грн",5,ОК,0,77,0,0
PKM-KR-HWAK-BBX,Pokémon — Hot Wind Arena — KR — Booster Box,Pokémon,Booster Box,0,0,0,0,"0,00 грн","0,00 грн","0,00 грн","0,00 грн","0,00 грн","0,00 грн",1,Немає,0,0,0,0
PKM-KR-SEBK-BBX,Pokémon — Super Electric Breaker — KR — Booster Box,Pokémon,Booster Box,1,1,0,0,"2 251,00 грн","2 386,06 грн","0,00 грн","0,00 грн","0,00 грн","0,00 грн",1,Немає,0,1,0,0
PKM-JP-PRTB-SET,Pokémon — Premium Trainer Box ex — JP — Collection Set,Pokémon,Collection Set,1,1,0,0,"2 337,87 грн","2 478,14 грн","0,00 грн","0,00 грн","0,00 грн","0,00 грн",1,Немає,0,1,0,0
OP-JP-OP12-BST,One Piece — OP-12 — JP — Booster,One Piece,Booster,20,20,0,0,"77,64 грн","82,30 грн","0,00 грн","0,00 грн","0,00 грн","0,00 грн",5,Немає,0,20,0,0
OP-JP-OP14-BST,One Piece — OP-14 — JP — Booster,One Piece,Booster,40,8,9,23,"94,07 грн","99,72 грн","2 163,61 грн","2 293,56 грн","4 600,00 грн","2 306,44 грн",5,ОК,0,40,0,0
OP-JP-OP15-BST,One Piece — OP-15 — JP — Booster,One Piece,Booster,24,1,8,15,"82,21 грн","87,14 грн","1 233,15 грн","1 307,10 грн","3 300,00 грн","1 992,90 грн",5,ОК,0,24,0,0
PKM-JP-INFX-BST,Pokémon — Inferno X — JP — Booster,Pokémon,Booster,30,0,3,27,"134,31 грн","142,36 грн","3 626,37 грн","3 843,72 грн","8 910,00 грн","5 066,28 грн",5,ОК,30,60,0,30
PKM-JP-OUTL-BST,Pokémon — Outlet Mix — JP — Booster,Pokémon,Booster,278,222,6,50,"48,62 грн","51,54 грн","2 431,00 грн","2 577,00 грн","3 750,00 грн","1 173,00 грн",5,ОК,0,278,0,0
YGO-JP-QCAC-BST,Yu-Gi-Oh! — Quarter Century Art Collection — JP — Booster,Yu-Gi-Oh!,Booster,15,0,1,14,"56,73 грн","60,14 грн","794,22 грн","841,96 грн","1 680,00 грн","838,04 грн",5,ОК,0,15,0,0
