Товари,,,,,,,,,,,,,,
SKU,Коротка назва,Повна назва для сайту,Бренд,Мова,Сет,Формат,Карт у бустері,Бустерів у боксі,Поточна ціна продажу,Мінімальний залишок,Активний товар,Посилання на товар,Примітка,Фіксована собівартість
OP-JP-MIX-MBX,One Piece — Mystery Mix — JP — Mystery Box,One Piece JP Mystery Box - 5 random booster packs + 1-2 holo cards,One Piece,JP,Mystery Mix,Mystery Box,,,"750,00 грн",0,Так,,Внутрішній комплект: 5 random One Piece boosters + 1-2 holo cards з особистої колекції; бустери списуються через форму продажу.,"450,00 грн"
OP-JP-PRB01-BST,One Piece — PRB-01 — JP — Booster,One Piece JP PRB-01 ONE PIECE CARD THE BEST booster pack sealed,One Piece,JP,PRB-01,Booster,6,24,"200,00 грн",5,Так,,Додано для нової закупки: ONE PIECE CARD THE BEST PRB-01,
OP-JP-PRB01-BBX,One Piece — PRB-01 — JP — Booster Box,One Piece JP PRB-01 ONE PIECE CARD THE BEST booster box sealed,One Piece,JP,PRB-01,Booster Box,6,24,"5 000,00 грн",1,Так,,Додано для нової закупки: ONE PIECE CARD THE BEST PRB-01,
OP-JP-OP07-BBX,One Piece — OP-07 — JP — Booster Box,One Piece JP OP-07 booster box sealed,One Piece,JP,OP-07,Booster Box,6,24,"4 500,00 грн",1,Так,,Додано як box SKU для існуючого One Piece booster SKU,
OP-JP-OP10-BBX,One Piece — OP-10 — JP — Booster Box,One Piece JP OP-10 booster box sealed,One Piece,JP,OP-10,Booster Box,6,24,"5 000,00 грн",1,Так,,Додано як box SKU для існуючого One Piece booster SKU,
OP-JP-OP11-BBX,One Piece — OP-11 — JP — Booster Box,One Piece JP OP-11 booster box sealed,One Piece,JP,OP-11,Booster Box,6,24,"5 000,00 грн",1,Так,,Додано як box SKU для існуючого One Piece booster SKU,
OP-JP-EB03-BBX,One Piece — EB-03 — JP — Booster Box,One Piece JP EB-03 booster box sealed,One Piece,JP,EB-03,Booster Box,6,24,"5 000,00 грн",1,Так,,Додано як box SKU для існуючого One Piece booster SKU,
OP-JP-OP12-BBX,One Piece — OP-12 — JP — Booster Box,One Piece JP OP-12 booster box sealed,One Piece,JP,OP-12,Booster Box,6,24,"5 000,00 грн",1,Так,,Додано як box SKU для існуючого One Piece booster SKU,
OP-JP-OP14-BBX,One Piece — OP-14 — JP — Booster Box,One Piece JP OP-14 booster box sealed,One Piece,JP,OP-14,Booster Box,6,24,"5 000,00 грн",1,Так,,Додано як box SKU для існуючого One Piece booster SKU,
OP-JP-OP15-BBX,One Piece — OP-15 — JP — Booster Box,One Piece JP OP-15 booster box sealed,One Piece,JP,OP-15,Booster Box,6,24,"5 200,00 грн",1,Так,,Додано як box SKU для існуючого One Piece booster SKU,
YGO-JP-BDOM-BST,Yu-Gi-Oh! — Blazing Dominion — JP — Booster,Yu-Gi-Oh! JP Blazing Dominion booster pack sealed,Yu-Gi-Oh!,JP,Blazing Dominion,Booster,5,30,"150,00 грн",1,Так,,Додано для нової закупки: Yu-Gi-Oh! Blazing Dominion booster SKU,
YGO-JP-BDOM-BBX,Yu-Gi-Oh! — Blazing Dominion — JP — Booster Box,Yu-Gi-Oh! JP Blazing Dominion booster box sealed,Yu-Gi-Oh!,JP,Blazing Dominion,Booster Box,5,30,"3 000,00 грн",1,Так,,Додано для нової закупки: Yu-Gi-Oh! Blazing Dominion booster box SKU,
PKM-JP-MSYM-BBX,Pokémon — Mega Symphonia — JP — Booster Box,Pokemon JP Mega SYM booster box sealed,Pokémon,JP,Mega Symphonia,Booster Box,5,30,"4 400,00 грн",1,Так,,Додано після звірки з сайтом; на сайті статус Закінчилось; залишок 0,
PKM-JP-BBLT-BST,Pokémon — Black Bolt — JP — Booster,Pokemon JP Scarlet & Violet Black Bolt booster pack sealed,Pokémon,JP,Black Bolt,Booster,5,30,"350,00 грн",5,Так,,Додано в асортимент: Pokemon Scarlet & Violet Black Bolt expansion pack. Аліас з лоту: Pokemon Cards Black Volt.,
PKM-JP-SHTR-BST,Pokémon — Shiny Treasure ex — JP — Booster,Pokemon JP Scarlet & Violet High Class Pack Shiny Treasure ex booster pack sealed,Pokémon,JP,Shiny Treasure ex,Booster,10,10,"350,00 грн",5,Так,,Додано 2026-05-22 для ринкової аналітики; залишок 0; на сайт не додавати без окремого рішення.,
MTG-JP-AFRS-BST,MTG — Adventures in the Forgotten Realms — JP — Booster,MTG JP Adventures in the Forgotten Realms set booster pack sealed,MTG,JP,Adventures in the Forgotten Realms,Booster,12,30,"400,00 грн",5,Так,,"MTG пробна закупка: японський Set Booster Box Adventures in the Forgotten Realms; у закупці/продажах вести як 30 окремих паків, не як бокс.",
PKM-JP-WFLR-BST,Pokémon — White Flare — JP — Booster,Pokemon JP White Flare booster pack sealed,Pokémon,JP,White Flare,Booster,5,30,"350,00 грн",5,Так,,Додано в асортимент після виграного лоту: Pokemon Cards White Flare; РРЦ ще не задано.,
PKM-JP-SVEX-BLR,Pokémon — Scarlet & Violet ex Special Set — JP — Blister,Pokemon TCG Scarlet & Violet ex Special Set JP blister sealed,Pokémon,JP,Scarlet & Violet ex Special Set,Blister,,,"2 100,00 грн",1,Так,,Додано 2026-05-28: Pokemon TCG Scarlet & Violet ex Special Set; класифіковано як Blister; РРЦ 2100 грн.,
