Booster Shop CRM - Дашборд,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,SKU,Назва,Виручка,Чистий прибуток,Продано,Статус,Бренд,Формат,Останній продаж
3,Pokémon — Outlet Mix — JP — Booster,PKM-JP-OUTL-BST,"1 500,00 грн",,3,Pokémon — Scarlet & Violet ex Special Set — JP — Blister,PKM-JP-SVEX-BLR,"632,54 грн",,3,Pokémon — Mega Brave — JP — Booster,PKM-JP-MBRV-BST,109,,,,,,,,,,,,,YGO-JP-QCAC-BST,Yu-Gi-Oh! — Quarter Century Art Collection — JP — Booster,"0,00 грн","0,00 грн",0,ОК,Yu-Gi-Oh!,Booster,1899-12-30
4,Pokémon — Outlet Mix — JP — Booster,PKM-JP-OUTL-BST,"1 500,00 грн",,4,One Piece — Mystery Mix — JP — Mystery Box,OP-JP-MIX-MBX,"502,21 грн",,4,One Piece — OP-11 — JP — Booster,OP-JP-OP11-BST,36,,,,,,,,,,,,,OP-JP-OP08-BST,One Piece — OP-08 — JP — Booster,"0,00 грн","0,00 грн",6,ОК,One Piece,Booster,2026-06-29
5,One Piece — OP-14 — JP — Booster,OP-JP-OP14-BST,"1 140,00 грн",,5,Pokémon — Outlet Mix — JP — Booster,PKM-JP-OUTL-BST,"420,85 грн",,5,Pokémon — Mega Dream EX — JP — Booster,PKM-JP-MDEX-BST,24,,,,,,,,,,,,,OP-JP-OP08-BBX,One Piece — OP-08 — JP — Booster Box,"0,00 грн","0,00 грн",0,Немає,One Piece,Booster Box,1899-12-30
,,,,,,,,,,,,,,,,,,,,,,,,,,PKM-JP-MIX-MBX,Pokémon — Mystery Mix — JP — Mystery Box,"2 737,50 грн","751,16 грн",15,Немає,Pokémon,Mystery Box,2026-07-10
,,,,,,,,,,,,,,,,,,,,,,,,,,OP-JP-MIX-MBX,One Piece — Mystery Mix — JP — Mystery Box,"1 500,00 грн","502,21 грн",8,Немає,One Piece,Mystery Box,2026-07-09
Товари з низьким залишком,,,,,,Продажі по місяцях,,,,,,Канали продажів,,,,,,,,,,,,,,OP-JP-PRB01-BST,One Piece — PRB-01 — JP — Booster,"0,00 грн","0,00 грн",0,Немає,One Piece,Booster,1899-12-30
SKU,Назва,Залишок,Мінімум,Статус,,Місяць,Кількість замовлень,Виручка,Чистий прибуток,Середній чек,,Джерело,Кількість замовлень,Виручка,Чистий прибуток,Середній чек,,,,,,,,,,OP-JP-PRB01-BBX,One Piece — PRB-01 — JP — Booster Box,"0,00 грн","0,00 грн",0,Немає,One Piece,Booster Box,1899-12-30
PKM-JP-MZERO-BBX,Pokémon — Munics Zero — JP — Booster Box,1,1,Мало,,2026-02,0,"0,00 грн","0,00 грн","0,00 грн",,OpenCart,45,"53 594,75 грн","13 432,81 грн","1 190,99 грн",,,,,,,,,,OP-JP-OP07-BBX,One Piece — OP-07 — JP — Booster Box,"0,00 грн","0,00 грн",0,Немає,One Piece,Booster Box,1899-12-30
OP-JP-OP11-BST,One Piece — OP-11 — JP — Booster,4,5,Мало,,2026-03,8,"9 030,00 грн","6 067,14 грн","1 128,75 грн",,Telegram,6,"8 580,00 грн","3 996,54 грн","1 430,00 грн",,,,,,,,,,OP-JP-OP10-BBX,One Piece — OP-10 — JP — Booster Box,"0,00 грн","0,00 грн",0,Немає,One Piece,Booster Box,1899-12-30
YGO-JP-WPP5-BBX,Yu-Gi-Oh! — World Premiere Pack 2024 — JP — Booster Box,1,1,Мало,,2026-04,29,"31 370,00 грн","12 513,99 грн","1 081,72 грн",,OLX,61,"60 155,00 грн","25 859,85 грн","986,15 грн",,,,,,,,,,OP-JP-OP11-BBX,One Piece — OP-11 — JP — Booster Box,"0,00 грн","0,00 грн",0,Немає,One Piece,Booster Box,1899-12-30
