РРЦ / актуальні ціни продажу,,,,,,,
SKU,Назва товару,Бренд,Формат,"РРЦ, грн",Дата оновлення,Примітка,Динамічна РРЦ
PKM-JP-SVEX-BLR,Pokémon — Scarlet & Violet ex Special Set — JP — Blister,Pokémon,Blister,"2 100,00 грн",2026-05-28,Додано SKU: Pokemon TCG Scarlet & Violet ex Special Set; класифіковано як Blister; РРЦ 2100 грн.,"2 096,00 грн"
YGO-JP-WPP5-BST,Yu-Gi-Oh! — World Premiere Pack 2024 — JP — Booster,Yu-Gi-Oh!,Booster,"80,00 грн",,,
YGO-JP-WPP5-BBX,Yu-Gi-Oh! — World Premiere Pack 2024 — JP — Booster Box,Yu-Gi-Oh!,Booster Box,"1 100,00 грн",,,
PKM-KR-HWAK-BST,Pokémon — Hot Wind Arena — KR — Booster,Pokémon,Booster,"110,00 грн",2026-06-05,,"111,00 грн"
PKM-JP-ABYE-BST,Pokémon — Abyss Eye — JP — Booster,Pokémon,Booster,"210,00 грн",2026-06-14,Початкова РРЦ 2026-06-14: Abyss Eye JP booster.,
PKM-JP-ABYE-BBX,Pokémon — Abyss Eye — JP — Booster Box,Pokémon,Booster Box,"6 200,00 грн",2026-06-14,Початкова РРЦ 2026-06-14: Abyss Eye JP display / booster box.,
PKM-JP-MBRV-BBX,Pokémon — Mega Brave — JP — Booster Box,Pokémon,Booster Box,"5 000,00 грн",2026-06-20,Початкова РРЦ 2026-06-20: Mega Brave JP display / booster box.,
ACC-001,"Протектори для карток 63×89 мм, 100 шт",Generic,Accessory,"80,00 грн",2026-06-20,Початкова РРЦ 2026-06-20: ACC-001.,
ACC-002,"Протектори Games 7 Days Premium+ 63,5×88 мм, 50 шт",Games 7 Days,Accessory,"100,00 грн",2026-06-20,Початкова РРЦ 2026-06-20: ACC-002.,"104,00 грн"
ACC-003,"Топлоадери для карток 35PT, 25 шт",Generic,Accessory,"280,00 грн",2026-06-20,Початкова РРЦ 2026-06-20: ACC-003.,
ACC-004,Магнітний кейс для карток 35PT,Generic,Accessory,"75,00 грн",2026-06-20,Початкова РРЦ 2026-06-20: ACC-004.,"44,00 грн"
ACC-005,Акрилова підставка для магнітного кейсу,Generic,Accessory,"15,00 грн",2026-06-20,Початкова РРЦ 2026-06-20: ACC-005.,
ACC-006,Аркуш Games 7 Days Premium на 9 кишеньок,Games 7 Days,Accessory,"20,00 грн",2026-06-20,Початкова РРЦ 2026-06-20: ACC-006.,
ACC-007-360,"Альбом для колекційних карток, жовтий на 360 карток",Generic,Accessory,"500,00 грн",2026-07-12,,
ACC-008,"Акриловий протектор без магніта, 1 шт",Generic,Accessory,"50,00 грн",2026-07-12,,
ACC-009,"Топлоадер для картки 35PT, 1 шт",Generic,Accessory,"15,00 грн",2026-07-12,,
PKM-EN-PORD-BBN,Pokémon — Perfect Order — EN — Booster Bundle,Pokémon,Booster Bundle,"1 900,00 грн",2026-07-07,Початкова РРЦ 2026-07-07: PKM-EN-PORD-BBN.,
PKM-EN-PORD-BST,Pokémon — Perfect Order — EN — Booster,Pokémon,Booster,"330,00 грн",2026-07-07,Початкова РРЦ 2026-07-07: PKM-EN-PORD-BST; скориговано 2026-07-07: 340 грн.,
PKM-EN-CHRS-BBN,Pokémon — Chaos Rising — EN — Booster Bundle,Pokémon,Booster Bundle,"1 900,00 грн",2026-07-07,Початкова РРЦ 2026-07-07: PKM-EN-CHRS-BBN.,
PKM-EN-CHRS-BST,Pokémon — Chaos Rising — EN — Booster,Pokémon,Booster,"330,00 грн",2026-07-07,Початкова РРЦ 2026-07-07: PKM-EN-CHRS-BST; скориговано 2026-07-07: 380 грн.,
OP-JP-OP16-BBX,One Piece — OP-16 — JP — Booster Box,One Piece,Booster Box,"6 500,00 грн",2026-07-08,Початкова РРЦ 2026-07-08: OP-JP-OP16-BBX; виправлено код сету з KTOK на OP-16.,
OP-JP-OP16-BST,One Piece — OP-16 — JP — Booster,One Piece,Booster,"260,00 грн",2026-07-08,Початкова РРЦ 2026-07-08: OP-JP-OP16-BST; виправлено код сету з KTOK на OP-16.,
PKM-JP-MDEX-BBX,Pokémon — Mega Dream EX — JP — Booster Box,Pokémon,Booster Box,"5 000,00 грн",2026-07-14,Початкова РРЦ 2026-07-14: PKM-JP-MDEX-BBX; Pokémon Mega Dream EX booster box.,
