Списання,,,,,,,,,,,
ID списання,Дата,Тип списання,SKU,Назва товару,Кількість,Собівартість 1 од. / ПРРО,Управлінська собівартість 1 од.,Сума списання / ПРРО,Управлінська сума списання,Причина,Примітка
WRT-0001,2026-05-02,Власне відкриття,PKM-JP-MSYM-BST,Pokémon — Mega Symphonia — JP — Booster,4,"57,25 грн","60,68 грн","229,00 грн","242,72 грн",Коригування фактичного залишку після міграції,Фактичний залишок: 77 шт
WRT-0002,2026-05-02,Власне відкриття,PKM-JP-MBRV-BST,Pokémon — Mega Brave — JP — Booster,9,"90,50 грн","95,93 грн","814,50 грн","863,37 грн",Коригування фактичного залишку після міграції,Фактичний залишок: 36 шт
WRT-0003,2026-05-02,Власне відкриття,PKM-JP-MZERO-BST,Pokémon — Munics Zero — JP — Booster,8,"41,07 грн","43,53 грн","328,56 грн","348,24 грн",Коригування фактичного залишку після міграції,"Фактичний залишок: 17 шт, outlet"
WRT-0004,2026-05-02,Власне відкриття,PKM-JP-SCEX-BST,Pokémon — Scarlet EX — JP — Booster,2,"88,10 грн","93,39 грн","176,20 грн","186,78 грн",Коригування фактичного залишку після міграції,Фактичний залишок: 12 шт
WRT-0005,2026-05-02,Власне відкриття,OP-JP-V7PR-BST,One Piece — V7 Promo — JP — Booster,4,"62,57 грн","66,32 грн","250,28 грн","265,28 грн",Коригування фактичного залишку після міграції,Фактичний залишок: 31 шт
WRT-0006,2026-05-02,Власне відкриття,OP-JP-OP11-BST,One Piece — OP-11 — JP — Booster,1,"72,54 грн","76,89 грн","72,54 грн","76,89 грн",Коригування фактичного залишку після міграції,Фактичний залишок: 12 шт
WRT-0007,2026-05-02,Власне відкриття,OP-JP-OP10-BST,One Piece — OP-10 — JP — Booster,3,"79,24 грн","83,99 грн","237,71 грн","251,97 грн",Коригування фактичного залишку після міграції,Фактичний залишок: 4 шт
WRT-0008,2026-05-02,Власне відкриття,OP-JP-OP07-BST,One Piece — OP-07 — JP — Booster,1,"72,54 грн","76,89 грн","72,54 грн","76,89 грн",Коригування фактичного залишку після міграції,Фактичний залишок: 11 шт
WRT-0009,2026-05-06,Інше,PKM-JP-SCEX-BST,Pokémon — Scarlet EX — JP — Booster,2,"88,10 грн","93,39 грн","176,20 грн","186,78 грн",для формування містері бокса,Продаж OLX-FOP-0029
WRT-0010,2026-05-06,Інше,PKM-JP-MSYM-BST,Pokémon — Mega Symphonia — JP — Booster,2,"57,25 грн","60,68 грн","114,50 грн","121,36 грн",для формування містері бокса,Продаж OLX-FOP-0029
