РРЦ / актуальні ціни продажу,,,,,,,
SKU,Назва товару,Бренд,Формат,"РРЦ, грн",Дата оновлення,Примітка,Динамічна РРЦ
OP-JP-OP12-BBX,One Piece — OP-12 — JP — Booster Box,One Piece,Booster Box,"5 200,00 грн",2026-08-27,РРЦ змінено через owner dashboard: OP-JP-OP12-BBX; 5000 -> 5200,
OP-JP-OP14-BBX,One Piece — OP-14 — JP — Booster Box,One Piece,Booster Box,"5 400,00 грн",2026-08-27,РРЦ змінено через owner dashboard: OP-JP-OP14-BBX; 5000 -> 5400,
OP-JP-OP15-BBX,One Piece — OP-15 — JP — Booster Box,One Piece,Booster Box,"5 400,00 грн",2026-08-27,РРЦ змінено через owner dashboard: OP-JP-OP15-BBX; 4800 -> 5400,"5 756,00 грн"
YGO-JP-BDOM-BST,Yu-Gi-Oh! — Blazing Dominion — JP — Booster,Yu-Gi-Oh!,Booster,"80,00 грн",2026-08-13,РРЦ змінено через owner dashboard: YGO-JP-BDOM-BST; 90 -> 80,"48,00 грн"
YGO-JP-BDOM-BBX,Yu-Gi-Oh! — Blazing Dominion — JP — Booster Box,Yu-Gi-Oh!,Booster Box,"2 200,00 грн",2026-08-13,РРЦ змінено через owner dashboard: YGO-JP-BDOM-BBX; 2700 -> 2200,
PKM-JP-MSYM-BBX,Pokémon — Mega Symphonia — JP — Booster Box,Pokémon,Booster Box,"4 700,00 грн",2026-08-27,РРЦ змінено через owner dashboard: PKM-JP-MSYM-BBX; 4400 -> 4700,
PKM-JP-BBLT-BST,Pokémon — Black Bolt — JP — Booster,Pokémon,Booster,"350,00 грн",2026-05-23,,"335,00 грн"
PKM-JP-SHTR-BST,Pokémon — Shiny Treasure ex — JP — Booster,Pokémon,Booster,"350,00 грн",2026-05-22,"Додано для аналітики без РРЦ: товар не продається, залишок 0.",
MTG-JP-AFRS-BST,MTG — Adventures in the Forgotten Realms — JP — Booster,MTG,Booster,"250,00 грн",2026-08-27,РРЦ змінено через owner dashboard: MTG-JP-AFRS-BST; 300 -> 250,
PKM-JP-WFLR-BST,Pokémon — White Flare — JP — Booster,Pokémon,Booster,"320,00 грн",2026-08-27,РРЦ змінено через owner dashboard: PKM-JP-WFLR-BST; 350 -> 320,"336,00 грн"
PKM-JP-SVEX-BLR,Pokémon — Scarlet & Violet ex Special Set — JP — Blister,Pokémon,Blister,"2 100,00 грн",2026-05-28,Додано SKU: Pokemon TCG Scarlet & Violet ex Special Set; класифіковано як Blister; РРЦ 2100 грн.,"2 118,00 грн"
YGO-JP-WPP5-BST,Yu-Gi-Oh! — World Premiere Pack 2024 — JP — Booster,Yu-Gi-Oh!,Booster,"80,00 грн",,,
YGO-JP-WPP5-BBX,Yu-Gi-Oh! — World Premiere Pack 2024 — JP — Booster Box,Yu-Gi-Oh!,Booster Box,"1 100,00 грн",,,
PKM-KR-HWAK-BST,Pokémon — Hot Wind Arena — KR — Booster,Pokémon,Booster,"110,00 грн",2026-06-05,,"112,00 грн"
PKM-JP-ABYE-BST,Pokémon — Abyss Eye — JP — Booster,Pokémon,Booster,"210,00 грн",2026-08-20,РРЦ змінено через owner dashboard: PKM-JP-ABYE-BST; 200 -> 210,"199,00 грн"
PKM-JP-ABYE-BBX,Pokémon — Abyss Eye — JP — Booster Box,Pokémon,Booster Box,"4 900,00 грн",2026-08-28,РРЦ змінено через owner dashboard: PKM-JP-ABYE-BBX; 5200 -> 4900,"5 743,00 грн"
PKM-JP-MBRV-BBX,Pokémon — Mega Brave — JP — Booster Box,Pokémon,Booster Box,"4 900,00 грн",2026-08-27,РРЦ змінено через owner dashboard: PKM-JP-MBRV-BBX; 4800 -> 4900,
ACC-001,"Протектори для карток 63×89 мм, 100 шт",Generic,Accessory,"80,00 грн",2026-06-20,Початкова РРЦ 2026-06-20: ACC-001.,"58,00 грн"
ACC-002,"Протектори Games 7 Days Premium+ 63,5×88 мм, 50 шт",Games 7 Days,Accessory,"100,00 грн",2026-06-20,Початкова РРЦ 2026-06-20: ACC-002.,"107,00 грн"
ACC-003,"Топлоадери для карток 35PT, 25 шт",Generic,Accessory,"250,00 грн",2026-06-20,Початкова РРЦ 2026-06-20: ACC-003.,"159,00 грн"
ACC-004,Магнітний кейс для карток 35PT,Generic,Accessory,"75,00 грн",2026-06-20,Початкова РРЦ 2026-06-20: ACC-004.,"37,00 грн"
ACC-005,Акрилова підставка для магнітного кейсу,Generic,Accessory,"15,00 грн",2026-06-20,Початкова РРЦ 2026-06-20: ACC-005.,"9,00 грн"
ACC-006,Аркуш Games 7 Days Premium на 9 кишеньок,Games 7 Days,Accessory,"15,00 грн",2026-08-13,РРЦ змінено через owner dashboard: ACC-006; 20 -> 15,
ACC-007-360,"Альбом для колекційних карток, жовтий на 360 карток",Generic,Accessory,"450,00 грн",2026-08-13,РРЦ змінено через owner dashboard: ACC-007-360; 400 -> 450,"266,00 грн"
ACC-008,"Акриловий протектор без магніта, 1 шт",Generic,Accessory,"50,00 грн",2026-07-12,,"18,00 грн"
ACC-009,"Топлоадер для картки 35PT, 1 шт",Generic,Accessory,"15,00 грн",2026-07-12,,"5,00 грн"
PKM-EN-PORD-BBN,Pokémon — Perfect Order — EN — Booster Bundle,Pokémon,Booster Bundle,"1 600,00 грн",2026-08-27,РРЦ змінено через owner dashboard: PKM-EN-PORD-BBN; 1850 -> 1600,
PKM-EN-PORD-BST,Pokémon — Perfect Order — EN — Booster,Pokémon,Booster,"300,00 грн",2026-08-27,РРЦ змінено через owner dashboard: PKM-EN-PORD-BST; 330 -> 300,"315,00 грн"
PKM-EN-CHRS-BBN,Pokémon — Chaos Rising — EN — Booster Bundle,Pokémon,Booster Bundle,"1 600,00 грн",2026-08-27,РРЦ змінено через owner dashboard: PKM-EN-CHRS-BBN; 1850 -> 1600,
PKM-EN-CHRS-BST,Pokémon — Chaos Rising — EN — Booster,Pokémon,Booster,"300,00 грн",2026-08-27,РРЦ змінено через owner dashboard: PKM-EN-CHRS-BST; 330 -> 300,"317,00 грн"
OP-JP-OP16-BBX,One Piece — OP-16 — JP — Booster Box,One Piece,Booster Box,"4 700,00 грн",2026-08-27,РРЦ змінено через owner dashboard: OP-JP-OP16-BBX; 4600 -> 4700,
OP-JP-OP16-BST,One Piece — OP-16 — JP — Booster,One Piece,Booster,"220,00 грн",2026-08-27,РРЦ змінено через owner dashboard: OP-JP-OP16-BST; 200 -> 220,
PKM-JP-MDEX-BBX,Pokémon — Mega Dream EX — JP — Booster Box,Pokémon,Booster Box,"4 900,00 грн",2026-08-27,РРЦ змінено через owner dashboard: PKM-JP-MDEX-BBX; 4700 -> 4900,"3 052,00 грн"
PKM-EN-Q2-MTIN-SAL,Pokémon — Q2 — EN — Mini Tin — Salamence,Pokémon,Mini Tin,"700,00 грн",2026-08-27,РРЦ змінено через owner dashboard: PKM-EN-Q2-MTIN-SAL; 750 -> 700,"843,00 грн"
PKM-EN-Q2-MTIN-GAL,Pokémon — Q2 — EN — Mini Tin — Gallade,Pokémon,Mini Tin,"700,00 грн",2026-08-27,РРЦ змінено через owner dashboard: PKM-EN-Q2-MTIN-GAL; 750 -> 700,
BR-CHARM-100,Брелок Чармандер (Pokémon) — 3D-друк,Booster Shop,3D аксесуар,"25,00 грн",2026-08-12,Створено через owner dashboard: BR-CHARM-100; Створено з 3D-друк / Вироби,
PKM-JP-MBX-XL,Містері бокс Pokémon TCG: Mystery Mix XL (Японське видання),Pokémon,Mystery Box,"1 000,00 грн",2026-07-31,Початкова РРЦ 2026-07-31: PKM-JP-MBX-XL; Mystery Mix XL.,"1 112,00 грн"
OP-JP-MBX-XL,Містері бокс One Piece Card Game: Mystery Mix XL (Японське видання),One Piece,Mystery Box,"1 000,00 грн",2026-07-31,Початкова РРЦ 2026-07-31: OP-JP-MBX-XL; Mystery Mix XL.,
PKM-JP-MBX-ST,Містері бокс Pokémon TCG: Mystery Mix Standard (Японське видання),Pokémon,Mystery Box,"700,00 грн",2026-08-07,Початкова РРЦ 2026-08-07: PKM-JP-MBX-ST; Mystery Mix Standard.,"668,00 грн"
OP-JP-MBX-ST,Містері бокс One Piece Card Game: Mystery Mix Standard (Японське видання),One Piece,Mystery Box,"700,00 грн",2026-08-07,Початкова РРЦ 2026-08-07: OP-JP-MBX-ST; Mystery Mix Standard.,"927,00 грн"
ACC-3D-DITTO-410,Підставка під телефон Дітто (Pokémon) — 3D-друк,Booster Shop,3D аксесуар,"100,00 грн",2026-08-08,Початкова РРЦ 2026-08-08: ACC-3D-DITTO-410; 3D аксесуар.,
